date,home,away,actual,model_prob_home,model_prob_draw,model_prob_away,implied_prob_home,implied_prob_draw,implied_prob_away,log_loss,flagged_value,flagged_side,edge,pnl,home_known,away_known
2020-10-24,Fulham,Crystal Palace,A,0.22333997903818611,0.28846928786647835,0.4881907330953356,0.34416118421052627,0.30530427631578944,0.3505345394736841,0.7170491029827544,True,A,0.1376561936216515,1.7000000000000002,True,True
2020-10-24,Liverpool,Sheffield United,H,0.6599731741038681,0.21597664238102873,0.12405018351510311,0.7755791985681615,0.14557024957740877,0.07885055185442974,0.4155560900848778,True,D,0.07040639280361996,-1.0,True,True
2020-10-25,Wolves,Newcastle,D,0.5415605748162122,0.265306931070054,0.19313249411373384,0.5454545454545455,0.27272727272727276,0.18181818181818185,1.3268678927743003,False,,0.011314312295551993,,True,True
2020-10-25,Southampton,Everton,H,0.40652124962842895,0.2578462599400566,0.33563249043151444,0.34634974533106966,0.28013582342954163,0.3735144312393889,0.9001190767518602,True,H,0.06017150429735929,1.75,True,True
2020-10-25,Arsenal,Leicester,A,0.37676354740249884,0.2589061173720955,0.3643303352254058,0.4983388704318937,0.25249169435215946,0.24916943521594684,1.0096943085320704,True,A,0.11516090000945897,2.8,True,True
2020-10-26,Brighton,West Brom,D,0.6506637936426216,0.18052986086073297,0.1688063454966453,0.5608856088560886,0.23837638376383766,0.2007380073800738,1.7118590807604337,True,H,0.08977818478653299,-1.0,True,True
2020-10-26,Burnley,Tottenham,A,0.2412262027221247,0.2545119174170214,0.5042618798608538,0.16580310880829016,0.2383419689119171,0.5958549222797929,0.6846595429590913,True,H,0.07542309391383453,-1.0,True,True
2020-10-30,Wolves,Crystal Palace,H,0.5361884227348667,0.293326382480464,0.17048519478466947,0.4791810762207774,0.2994881726379859,0.22133075114123665,0.6232696447321605,True,H,0.057007346514089285,1.0,True,True
2020-10-31,Liverpool,West Ham,H,0.700665505842208,0.1663129703079563,0.13302152384983573,0.6942607775720708,0.1798466014281936,0.12589262099973553,0.3557246729575277,False,,0.007128902850100205,,True,True
2020-10-31,Sheffield United,Man City,A,0.12738534424380604,0.2247130386955171,0.6479016170606767,0.09994794377928162,0.15825091098386257,0.7418011452368558,0.4340164196801709,True,D,0.06646212771165452,-1.0,True,True
2020-10-31,Burnley,Chelsea,A,0.2589620063482412,0.25418906385340456,0.48684892979835415,0.15789473684210528,0.2105263157894737,0.6315789473684211,0.7198014097761705,True,H,0.1010672695061359,-1.0,True,True
2020-11-01,Newcastle,Everton,H,0.3345332707022768,0.2717812643330955,0.39368546496462764,0.2568638290031325,0.2795282845034089,0.4636078864934587,1.0950189403771777,True,H,0.0776694416991443,2.7,True,True
2020-11-01,Man United,Arsenal,A,0.4818439415798397,0.2565403072955213,0.2616157511246389,0.47368421052631576,0.2631578947368421,0.2631578947368421,1.3408784504905893,False,,0.008159731053523911,,True,True
2020-11-01,Aston Villa,Southampton,A,0.3746580353074694,0.2564565066553511,0.3688854580371796,0.3883495145631068,0.27184466019417475,0.33980582524271846,0.9972690949526938,False,,0.02907963279446113,,True,True
2020-11-01,Tottenham,Brighton,H,0.6514234016804858,0.20328021899989093,0.14529637931962347,0.5898914063547392,0.23743129105778257,0.17267730258747824,0.428595461577307,True,H,0.0615319953257466,0.6100000000000001,True,True
2020-11-02,Fulham,West Brom,H,0.37126812388949004,0.24183506059094986,0.3868968155195601,0.3956834532374101,0.2877697841726619,0.31654676258992803,0.9908307714992658,True,A,0.07035005292963209,-1.0,True,True
2020-11-02,Leeds,Leicester,A,0.42719846405222084,0.23814094875286504,0.33466058719491426,0.3775518373228725,0.26218877591866147,0.3602593867584661,1.0946384333158197,False,,0.04964662672934833,,True,True
2020-11-06,Brighton,Burnley,D,0.37853190602571263,0.3036329465331267,0.31783514744116076,0.511293669135136,0.2702552251142862,0.21845110575057775,1.1919357198059037,True,A,0.09938404169058301,-1.0,True,True
2020-11-06,Southampton,Newcastle,H,0.508208303384341,0.2491073389907309,0.24268435762492804,0.47707736389684813,0.26504297994269344,0.2578796561604584,0.6768638694173877,False,,0.031130939487492848,,True,True
2020-11-07,Crystal Palace,Leeds,H,0.18219840806414314,0.24223607149613507,0.5755655204397216,0.3316148808694441,0.27992197296920723,0.38846314616134875,1.7026590314933345,True,A,0.1871023742783729,-1.0,True,True
2020-11-07,West Ham,Fulham,H,0.7775188528001769,0.13810561482960015,0.08437553237022304,0.5198277142432793,0.25367592455072036,0.2264963612060003,0.2516473872482212,True,H,0.2576911385568975,0.8300000000000001,True,True
2020-11-07,Everton,Man United,A,0.2720565736075777,0.24728388840836402,0.48065953798405825,0.32763251441662067,0.2714669405166285,0.40090054506675094,0.7325960807390647,True,A,0.07975899291730731,1.37,True,True
2020-11-07,Chelsea,Sheffield United,H,0.5417569999918794,0.26040618995389814,0.19783681005422227,0.6983240223463686,0.18994413407821228,0.11173184357541899,0.6129377175750713,True,A,0.08610496647880328,-1.0,True,True
2020-11-08,Leicester,Wolves,H,0.4592443152619755,0.2831636999527364,0.25759198478528833,0.41212601545472566,0.29621557360808404,0.2916584109371904,0.7781729332716782,False,,0.04711829980724985,,True,True
