accuracy,logloss,brier,test_season,model
0.5526315789473685,0.9454629313685371,0.5599503259342148,2017/18,Market baseline
0.5368421052631579,0.9595301955160175,0.5694803316824217,2017/18,Market logistic
0.5421052631578948,0.9599073631770825,0.5699961395564067,2017/18,Market logistic + sigmoid
0.5473684210526316,1.156673391158096,0.5789768404809272,2017/18,Market logistic + isotonic
0.5236842105263158,1.035529729643633,0.6122635018691657,2017/18,Team + Market
0.5289473684210526,0.9878896468078429,0.5866242216280313,2017/18,Team + Market + sigmoid
0.5342105263157895,1.0656966386078701,0.6152982015604016,2017/18,Team + Market + isotonic
0.4921052631578947,1.1173792321755085,0.6532002960821693,2017/18,Team + Market + Elo/Rest
0.531578947368421,0.9991890215727888,0.593651828557057,2017/18,Team + Market + Elo/Rest + sigmoid
0.5,1.21889786080663,0.6826605650270388,2017/18,HistGB + Elo/Rest
0.5157894736842106,0.995531001212689,0.5944182081751156,2017/18,HistGB + Elo/Rest + sigmoid
0.5868421052631579,0.8929010772547757,0.5221065563722176,2018/19,Market baseline
0.5921052631578947,0.8949701767506731,0.5229617014474365,2018/19,Market logistic
0.5973684210526315,0.9009493144069576,0.526706286671162,2018/19,Market logistic + sigmoid
0.5947368421052631,0.9831764390999818,0.5237208077123582,2018/19,Market logistic + isotonic
0.5684210526315789,0.9128833210754351,0.5313331210536564,2018/19,Team + Market
0.5842105263157895,0.9157177989627727,0.5362520643514238,2018/19,Team + Market + sigmoid
0.5894736842105263,0.919354950820714,0.5332644562189955,2018/19,Team + Market + isotonic
0.5736842105263158,0.9152881607377114,0.5343599304093567,2018/19,Team + Market + Elo/Rest
0.5815789473684211,0.9189085919480106,0.5398175141927543,2018/19,Team + Market + Elo/Rest + sigmoid
0.531578947368421,1.0134548574996982,0.587663470883058,2018/19,HistGB + Elo/Rest
0.5868421052631579,0.949416922527678,0.5610802353861727,2018/19,HistGB + Elo/Rest + sigmoid
0.531578947368421,0.972590468932399,0.5750337075467311,2019/20,Market baseline
0.5263157894736842,0.969810861444599,0.5743511194776111,2019/20,Market logistic
0.5289473684210526,0.971529162206924,0.5756316625198215,2019/20,Market logistic + sigmoid
0.5236842105263158,0.9911690257908916,0.5802264976165425,2019/20,Market logistic + isotonic
0.49473684210526314,1.0066417747881262,0.5961243265419186,2019/20,Team + Market
0.5105263157894737,0.9983977836598056,0.5924079369803827,2019/20,Team + Market + sigmoid
0.5105263157894737,1.0106818198201548,0.5962415039769277,2019/20,Team + Market + isotonic
0.5105263157894737,1.0231172473358738,0.6004949652394053,2019/20,Team + Market + Elo/Rest
0.5157894736842106,1.0006160033191012,0.5925338633099322,2019/20,Team + Market + Elo/Rest + sigmoid
0.5131578947368421,1.0288056262051466,0.5949660208681726,2019/20,HistGB + Elo/Rest
0.5394736842105263,0.9883676183529209,0.5843861378587513,2019/20,HistGB + Elo/Rest + sigmoid
0.5157894736842106,1.0042126936570532,0.5968203053694806,2020/21,Market baseline
0.5131578947368421,1.0229449195013656,0.6060131408560525,2020/21,Market logistic
0.5131578947368421,1.0251263663210404,0.6070726757544698,2020/21,Market logistic + sigmoid
0.4842105263157895,1.047669644710997,0.6172790426188599,2020/21,Market logistic + isotonic
0.49473684210526314,1.028037640843672,0.606068975679176,2020/21,Team + Market
0.5052631578947369,1.0173930780762037,0.6038676298923172,2020/21,Team + Market + sigmoid
0.49473684210526314,1.030036197643937,0.6076928062253326,2020/21,Team + Market + isotonic
0.49736842105263157,1.0726830473102063,0.6224307500454188,2020/21,Team + Market + Elo/Rest
0.5052631578947369,1.031357536472983,0.6131621844660232,2020/21,Team + Market + Elo/Rest + sigmoid
0.4710526315789474,1.1274185926331972,0.6604910976071396,2020/21,HistGB + Elo/Rest
