bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown,test_season,model,strategy,ev_threshold
380,152,0.4,380.0,-9.43999999999999,-0.02484210526315787,3.532973684210526,0.6045961910099749,-43.359999999999985,2017/18,HistGB + Elo/Rest,argmax,0.0
379,151,0.39841688654353563,379.0,-9.64,-0.025435356200527705,3.539129287598944,0.6061731458786459,-43.359999999999985,2017/18,HistGB + Elo/Rest,argmax,0.02
374,149,0.3983957219251337,374.0,-7.329999999999989,-0.019598930481283396,3.545855614973262,0.6137489919318319,-41.359999999999985,2017/18,HistGB + Elo/Rest,argmax,0.05
350,131,0.3742857142857143,350.0,-5.729999999999997,-0.01637142857142856,3.6165714285714285,0.6504765580989611,-42.00999999999999,2017/18,HistGB + Elo/Rest,argmax,0.1
326,113,0.34662576687116564,326.0,-11.349999999999994,-0.03481595092024538,3.750460122699386,0.6891403648246411,-42.370000000000005,2017/18,HistGB + Elo/Rest,argmax,0.15
456,187,0.4100877192982456,456.0,-12.569999999999997,-0.027565789473684203,3.4302850877192985,0.5233424619691893,-37.70999999999998,2017/18,HistGB + Elo/Rest,all_qualifying,0.0
443,178,0.4018058690744921,443.0,-16.899999999999988,-0.03814898419864557,3.4590519187358915,0.5384447626618686,-43.50999999999999,2017/18,HistGB + Elo/Rest,all_qualifying,0.02
426,171,0.4014084507042254,426.0,-12.460000000000003,-0.02924882629107982,3.4788262910798124,0.5585757439887634,-40.01999999999999,2017/18,HistGB + Elo/Rest,all_qualifying,0.05
383,145,0.3785900783289817,383.0,-7.159999999999993,-0.018694516971279357,3.5643864229765017,0.6123964552870477,-36.949999999999996,2017/18,HistGB + Elo/Rest,all_qualifying,0.1
346,124,0.3583815028901734,346.0,-5.9999999999999964,-0.017341040462427737,3.7258381502890168,0.6643395242821728,-36.519999999999996,2017/18,HistGB + Elo/Rest,all_qualifying,0.15
376,93,0.2473404255319149,376.0,4.669999999999998,0.012420212765957441,5.976382978723404,0.6642863047068416,-40.83,2017/18,HistGB + Elo/Rest + sigmoid,argmax,0.0
371,92,0.24797843665768193,371.0,7.220000000000003,0.019460916442048528,6.011482479784367,0.6730597354307363,-38.83,2017/18,HistGB + Elo/Rest + sigmoid,argmax,0.02
