bin,n,predicted_prob,observed_freq,model
"(0.7, 0.8]",448,0.7468967491289578,0.7366071428571429,Team + Market
"(0.8, 0.9]",242,0.8381015522572909,0.7644628099173554,Team + Market
"(0.9, 1.0]",32,0.9279720258676886,0.90625,Team + Market
"(-0.001, 0.1]",858,0.062796859676617,0.13752913752913754,Team + Market + Elo/Rest
"(0.1, 0.2]",2027,0.15455129223247294,0.18450912678835718,Team + Market + Elo/Rest
"(0.2, 0.3]",2659,0.24944588405922355,0.2685220007521625,Team + Market + Elo/Rest
"(0.3, 0.4]",1680,0.34297385045842677,0.3279761904761905,Team + Market + Elo/Rest
"(0.4, 0.5]",951,0.44841027691446544,0.40168243953732913,Team + Market + Elo/Rest
"(0.5, 0.6]",719,0.5466692293630321,0.5104311543810849,Team + Market + Elo/Rest
"(0.6, 0.7]",610,0.6481917793299664,0.5885245901639344,Team + Market + Elo/Rest
"(0.7, 0.8]",455,0.7472172990776181,0.7164835164835165,Team + Market + Elo/Rest
"(0.8, 0.9]",242,0.8420084359987717,0.7520661157024794,Team + Market + Elo/Rest
"(0.9, 1.0]",59,0.927659378264954,0.7966101694915254,Team + Market + Elo/Rest
"(-0.001, 0.1]",209,0.08181552484686813,0.10047846889952153,Team + Market + Elo/Rest + sigmoid
"(0.1, 0.2]",1455,0.1618303105577636,0.15532646048109966,Team + Market + Elo/Rest + sigmoid
"(0.2, 0.3]",4134,0.24241168695660778,0.24117077890662797,Team + Market + Elo/Rest + sigmoid
"(0.3, 0.4]",1351,0.3484379788458152,0.34344929681717246,Team + Market + Elo/Rest + sigmoid
"(0.4, 0.5]",1168,0.4492943204170177,0.4195205479452055,Team + Market + Elo/Rest + sigmoid
"(0.5, 0.6]",1007,0.5487362280434497,0.5441906653426017,Team + Market + Elo/Rest + sigmoid
"(0.6, 0.7]",763,0.645325706757971,0.7011795543905636,Team + Market + Elo/Rest + sigmoid
"(0.7, 0.8]",172,0.7210730883267746,0.8023255813953488,Team + Market + Elo/Rest + sigmoid
"(0.8, 0.9]",1,0.8065968107781287,1.0,Team + Market + Elo/Rest + sigmoid
"(-0.001, 0.1]",732,0.06309027007291379,0.11202185792349727,Team + Market + isotonic
"(0.1, 0.2]",1607,0.15730790407135925,0.1910392034847542,Team + Market + isotonic
"(0.2, 0.3]",3309,0.24932391074583587,0.25203989120580234,Team + Market + isotonic
"(0.3, 0.4]",1536,0.3464387447681057,0.3190104166666667,Team + Market + isotonic
"(0.4, 0.5]",1056,0.44765925568333725,0.42234848484848486,Team + Market + isotonic
"(0.5, 0.6]",812,0.5495512386988355,0.5184729064039408,Team + Market + isotonic
"(0.6, 0.7]",692,0.6503758236255737,0.6502890173410405,Team + Market + isotonic
"(0.7, 0.8]",403,0.7438695431628027,0.7518610421836228,Team + Market + isotonic
"(0.8, 0.9]",105,0.8343371172331944,0.7523809523809524,Team + Market + isotonic
"(0.9, 1.0]",8,0.9340893580151198,1.0,Team + Market + isotonic
"(-0.001, 0.1]",220,0.07969554894983331,0.08636363636363636,Team + Market + sigmoid
"(0.1, 0.2]",1702,0.16209133447143498,0.15746180963572268,Team + Market + sigmoid
"(0.2, 0.3]",3875,0.2440809056815101,0.24825806451612903,Team + Market + sigmoid
"(0.3, 0.4]",1364,0.34686857937144144,0.32991202346041054,Team + Market + sigmoid
"(0.4, 0.5]",1097,0.44896116653966056,0.4202370100273473,Team + Market + sigmoid
"(0.5, 0.6]",991,0.5499036572684698,0.5338042381432896,Team + Market + sigmoid
"(0.6, 0.7]",806,0.6471332013548752,0.7047146401985112,Team + Market + sigmoid
"(0.7, 0.8]",202,0.723527474999546,0.7920792079207921,Team + Market + sigmoid
"(0.8, 0.9]",3,0.8128139643858555,1.0,Team + Market + sigmoid
