bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown,model,strategy,odds_bucket
764,121,0.15837696335078533,764.0,-14.0,-0.01832460732984293,6.511060209424084,0.3957174082832681,-98.0,Team + Market + isotonic,all_qualifying,5.00-9.99
225,12,0.05333333333333334,225.0,-63.0,-0.28,15.4,1.0228096695952464,-75.0,Team + Market + isotonic,all_qualifying,10+
163,127,0.7791411042944786,163.0,5.280000000000001,0.03239263803680982,1.3301226993865032,0.11628939093068005,-9.049999999999995,Team + Market + Elo/Rest,argmax,1.00-1.49
333,202,0.6066066066066066,333.0,10.120000000000001,0.030390390390390393,1.7163363363363362,0.1607437203410395,-8.379999999999999,Team + Market + Elo/Rest,argmax,1.50-1.99
522,200,0.3831417624521073,522.0,-45.269999999999996,-0.08672413793103448,2.425536398467433,0.2395127138479216,-48.77000000000001,Team + Market + Elo/Rest,argmax,2.00-2.99
1073,287,0.2674743709226468,1073.0,-14.120000000000005,-0.013159366262814543,3.724538676607642,0.2822926037889997,-76.9,Team + Market + Elo/Rest,argmax,3.00-4.99
425,74,0.17411764705882352,425.0,35.25,0.08294117647058824,6.531176470588235,0.3865667579700088,-51.75,Team + Market + Elo/Rest,argmax,5.00-9.99
147,8,0.05442176870748299,147.0,-40.0,-0.272108843537415,14.700680272108844,0.783286293601628,-70.0,Team + Market + Elo/Rest,argmax,10+
168,130,0.7738095238095238,168.0,4.370000000000003,0.026011904761904778,1.330892857142857,0.11490687263488597,-9.769999999999998,Team + Market + Elo/Rest,all_qualifying,1.00-1.49
351,214,0.6096866096866097,351.0,13.200000000000003,0.03760683760683761,1.7182336182336182,0.15709124607510588,-9.73,Team + Market + Elo/Rest,all_qualifying,1.50-1.99
553,212,0.3833634719710669,553.0,-46.97,-0.08493670886075949,2.4234538878842673,0.23257841709948096,-50.960000000000015,Team + Market + Elo/Rest,all_qualifying,2.00-2.99
1261,338,0.26804123711340205,1261.0,-19.819999999999986,-0.01571768437747818,3.7142347343378277,0.2592731160278173,-72.52999999999999,Team + Market + Elo/Rest,all_qualifying,3.00-4.99
497,86,0.17303822937625754,497.0,41.5,0.08350100603621731,6.5699195171026155,0.36522217346181307,-54.75,Team + Market + Elo/Rest,all_qualifying,5.00-9.99
175,8,0.045714285714285714,175.0,-68.0,-0.38857142857142857,14.822857142857142,0.7128245771733441,-86.0,Team + Market + Elo/Rest,all_qualifying,10+
1,1,1.0,1.0,0.43999999999999995,0.43999999999999995,1.44,0.05073857485404698,0.0,Team + Market + Elo/Rest + sigmoid,argmax,1.00-1.49
126,79,0.626984126984127,126.0,15.14,0.12015873015873016,1.8077777777777775,0.11012244296705062,-6.7299999999999995,Team + Market + Elo/Rest + sigmoid,argmax,1.50-1.99
622,232,0.3729903536977492,622.0,-56.949999999999996,-0.09155948553054662,2.471446945337621,0.18272425852012036,-60.929999999999964,Team + Market + Elo/Rest + sigmoid,argmax,2.00-2.99
828,218,0.2632850241545894,828.0,-10.920000000000002,-0.013188405797101451,3.8418961352657006,0.23598930628046835,-55.04,Team + Market + Elo/Rest + sigmoid,argmax,3.00-4.99
813,135,0.16605166051660517,813.0,25.0,0.03075030750307503,6.545018450184502,0.4354871032081941,-72.75,Team + Market + Elo/Rest + sigmoid,argmax,5.00-9.99
276,18,0.06521739130434782,276.0,-38.0,-0.13768115942028986,14.858695652173912,1.2853999499266486,-63.0,Team + Market + Elo/Rest + sigmoid,argmax,10+
1,1,1.0,1.0,0.43999999999999995,0.43999999999999995,1.44,0.05073857485404698,0.0,Team + Market + Elo/Rest + sigmoid,all_qualifying,1.00-1.49
128,80,0.625,128.0,14.64,0.114375,1.805703125,0.10924026354629883,-6.7299999999999995,Team + Market + Elo/Rest + sigmoid,all_qualifying,1.50-1.99
634,237,0.37381703470031546,634.0,-56.510000000000005,-0.08913249211356468,2.4710094637223974,0.1807306175649099,-59.48999999999996,Team + Market + Elo/Rest + sigmoid,all_qualifying,2.00-2.99
925,239,0.2583783783783784,925.0,-19.680000000000003,-0.02127567567567568,3.8797297297297297,0.22116331657109162,-55.68000000000001,Team + Market + Elo/Rest + sigmoid,all_qualifying,3.00-4.99
1132,180,0.15901060070671377,1132.0,-3.0,-0.00265017667844523,6.581890459363957,0.39510308835954894,-83.0,Team + Market + Elo/Rest + sigmoid,all_qualifying,5.00-9.99
404,26,0.06435643564356436,404.0,-52.0,-0.12871287128712872,14.772277227722773,1.0556186593026193,-100.0,Team + Market + Elo/Rest + sigmoid,all_qualifying,10+
269,203,0.7546468401486989,269.0,-5.120000000000003,-0.019033457249070643,1.3087732342007432,0.14407210009939003,-14.56,HistGB + Elo/Rest,argmax,1.00-1.49
463,269,0.5809935205183585,463.0,-5.109999999999995,-0.011036717062634979,1.7206695464362853,0.2423879417878532,-14.599999999999998,HistGB + Elo/Rest,argmax,1.50-1.99
549,205,0.37340619307832423,549.0,-63.68000000000001,-0.11599271402550092,2.405537340619308,0.3198726271147633,-74.85999999999999,HistGB + Elo/Rest,argmax,2.00-2.99
1157,317,0.27398444252376836,1157.0,-0.23000000000000043,-0.00019878997407087333,3.6913656006914435,0.4147215368926824,-63.670000000000016,HistGB + Elo/Rest,argmax,3.00-4.99
477,83,0.1740041928721174,477.0,10.25,0.02148846960167715,6.319392033542977,0.6244281948512422,-41.25,HistGB + Elo/Rest,argmax,5.00-9.99
145,13,0.0896551724137931,145.0,18.0,0.12413793103448276,15.144827586206896,1.220225736834575,-39.0,HistGB + Elo/Rest,argmax,10+
282,214,0.7588652482269503,282.0,-3.420000000000001,-0.012127659574468088,1.3104255319148936,0.14140277745098268,-14.9,HistGB + Elo/Rest,all_qualifying,1.00-1.49
