model,ece
Market baseline,0.007800179394795304
Team + Market + Elo/Rest + sigmoid,0.011829604882590525
Market logistic + sigmoid,0.013317170363758216
Team + Market + sigmoid,0.015296904011713392
HistGB + Elo/Rest + sigmoid,0.015517401602040001
Market logistic,0.018626223504349542
Team + Market + isotonic,0.020031025155409613
Market logistic + isotonic,0.022697390932734367
Team + Market,0.026762424530814774
Team + Market + Elo/Rest,0.03422382443055839
HistGB + Elo/Rest,0.06500887956440922
