Model,Validation Accuracy,Validation LogLoss,Validation Brier,Test Accuracy,Test LogLoss,Test Brier
MODEL A — TEAM / FORM ONLY,0.49736842105263157,1.028945603586518,0.6182704333124862,0.47368421052631576,1.056590742458603,0.6380972245141836
MODEL B — MARKET ONLY,0.5421052631578948,0.9774206492225289,0.5828658655402083,0.5,1.0146358661379506,0.6096933938367112
MODEL C — TEAM + MARKET,0.5394736842105263,0.9770345181609403,0.5840170799369799,0.48947368421052634,1.0171604835640697,0.6105476318204826
