probability_range,bets,average_predicted_probability,actual_win_rate,profit,roi
0–9.9%,2,0.0779132036121663,0.0,-2.0,-1.0
10–19.9%,29,0.1624314434700775,0.1724137931034483,9.0,0.3103448275862069
20–29.9%,75,0.2647411549287098,0.28,18.490000000000002,0.24653333333333335
30–39.9%,97,0.33618204414731223,0.32989690721649484,16.5,0.17010309278350516
40–49.9%,31,0.4448774327173566,0.45161290322580644,3.869999999999999,0.12483870967741933
50–59.9%,22,0.5522503702475144,0.45454545454545453,-1.7400000000000007,-0.07909090909090911
60–69.9%,22,0.6459064587228555,0.5,-3.8000000000000003,-0.17272727272727273
70–79.9%,8,0.7365719969037021,0.75,1.36,0.17
80–89.9%,1,0.8031084423292261,1.0,0.33,0.33
