group,bets,wins,win_rate,win_rate_lower_95,win_rate_upper_95,profit,roi,avg_odds,avg_ev
A,152,62,0.40789473684210525,0.33297256606751885,0.4873578206841572,24.3,0.15986842105263158,3.756710526315789,0.16857703720088404
D,134,38,0.2835820895522388,0.21412535538900854,0.36510181550860155,18.71,0.1396268656716418,4.190447761194029,0.19203884021418519
H,1,0,0.0,0.0,0.7934567085261071,-1.0,-1.0,3.1,0.1187582940125508
