model,bets,wins,win_rate,profit,roi,avg_odds,avg_ev
MODEL B — MARKET ONLY,286,104,0.36363636363636365,67.33000000000001,0.23541958041958047,3.9234965034965033,0.12810890293177474
MODEL C — TEAM + MARKET,287,100,0.34843205574912894,42.010000000000005,0.1463763066202091,3.9569337979094072,0.17935774403222202
