group,bets,wins,win_rate,win_rate_lower_95,win_rate_upper_95,profit,roi,avg_odds,avg_ev
1.00–1.49,3,3,1.0,0.43849391955098227,1.0,1.2599999999999998,0.41999999999999993,1.42,0.08687662113248855
1.50–1.99,34,19,0.5588235294117647,0.3945361778918369,0.7111675978470325,-1.71,-0.05029411764705882,1.7226470588235294,0.10833402934985287
2.00–2.99,48,20,0.4166666666666667,0.28849459734577015,0.5571891778463536,-0.5300000000000007,-0.01104166666666668,2.4285416666666664,0.13879388437509058
3.00–4.99,154,48,0.3116883116883117,0.2438662664082448,0.38867673873108466,26.24,0.17038961038961037,3.81974025974026,0.18078224197434295
5.00–9.99,43,10,0.23255813953488372,0.1315353846924483,0.37744808299439414,21.75,0.5058139534883721,6.511627906976744,0.22243297796450245
10.00+,5,0,0.0,0.0,0.43449149475208104,-5.0,-1.0,17.6,0.6928991818857015
