group,bets,wins,win_rate,win_rate_lower_95,win_rate_upper_95,profit,roi,avg_odds,avg_ev
2025-08,21,8,0.38095238095238093,0.20750767797982506,0.5912170418449848,7.379999999999999,0.35142857142857137,3.818095238095238,0.1677597247291717
2025-09,24,11,0.4583333333333333,0.2789105835168143,0.6492544644689336,10.509999999999998,0.43791666666666657,3.77875,0.15633269286312787
2025-10,20,6,0.3,0.14547527396899385,0.5189767762289793,1.2000000000000002,0.06000000000000001,4.2275,0.17145842850243212
2025-11,32,8,0.25,0.1325224398262155,0.42106891770246624,-10.309999999999999,-0.32218749999999996,3.9746875,0.1636805752351726
2025-12,44,15,0.3409090909090909,0.21875632628639946,0.4886113202806049,-4.290000000000001,-0.09750000000000002,4.004318181818181,0.19239359813475757
2026-01,30,11,0.36666666666666664,0.21873702204017678,0.5448675356639506,7.449999999999999,0.24833333333333332,3.680333333333334,0.16201644384778283
2026-02,29,14,0.4827586206896552,0.3138581933079522,0.6556926202943085,15.170000000000002,0.5231034482758621,3.464827586206896,0.16153803523040663
2026-03,25,11,0.44,0.2666537494700256,0.6293298298043557,14.830000000000002,0.5932000000000001,3.6195999999999997,0.18863530899955896
2026-04,27,11,0.4074074074074074,0.24514513372857344,0.5927361694463591,10.02,0.3711111111111111,3.93962962962963,0.1988397294454338
2026-05,35,5,0.14285714285714285,0.06260138804853496,0.2937588030867426,-9.95,-0.28428571428571425,4.831142857142856,0.21253761818815997
